As good as i once was,Country
Thought You should Know,Country
I remember everything,Country
give it away ,Country
Watermelon moonshine,Country
Before He Cheats,Country
neon moon,Country
Tennessee orange,Country
Good time,Country
Thinkin' Bout me,Country
Dinasour,Country
180 (Lifestyle),Country 
Cowgirls ,Country 
FNAF Beatbox,Hip Hop
Poison,Hip Hop
Juciy 2005 Remaster,Hip Hop
The French Prince of Bellair,Hip Hop
Turn on  Swag On,Hip Hop
"You're A Mean One Mr Grinch",Hip Hop
good days,Hip Hop
Off the grid,Hip Hop
Headlines,Hip Hop
Homecoming,Hip Hop
Praise god,Hip Hop
Moon,Hip Hop
Love Me,Hip Hop
New again,Hip Hop
Talk ,Hip Hop
Come to life,Hip Hop
Sundress,Hip Hop
Flashing Lights,Hip Hop
Heartless,Hip Hop
ZEZE (clean,Hip Hop
No child left behind,Hip Hop
24,Hip Hop
Hurricane,Hip Hop
Heartless??? idk,Hip Hop
Lost in the world,Hip Hop
Open Arms,Hip Hop
California love??? (PLEASE) ,Hip Hop
Ribs,Indie
Birds Don't Sing,Indie
Campus ,Indie
Thats the way it is ,Indie
The trill,Indie
Mischievous alchemy,Indie
Tumblr Girls,Indie
Hey! Get Out Of My Way,Indie
Maps,Indie
Colliding stars,Indie
Dream Sweet in Sea Major,Pop
nowhere man,Pop
Gilded tears,Pop
Frostpunk Theme,Pop
Come and get your love ,Pop
Hakuna Matata,Pop
Phantom Liberty,Pop
The Ultimate Showdown Of Ultimate Destiny,Pop
Honeysuckle Rose,Pop
My way of life,Pop
Rain in my heart,Pop
Songbird ,Pop
Way Down Hadestown,Pop
Everything's Golden,Pop
I See Stars,Pop
Blood Clot,Pop
If I killed someone for you,Pop
Dear John,Pop
Party In the USA,Pop
Is it just me ,Pop
Unwritten,Pop
Viva La Vida,Pop
Party In The USA,Pop
sure thing ,Pop
Brother ,Pop
You Belong With Me,Pop
Starships ,Pop
Cheri Cheri Lady,Pop
Vampire,Pop
Lover,Pop
N Side,Pop
Last Friday Night,Pop
Hooked on a feeling,Pop
Older,Pop
Since U Been Gone,Pop
Break My Stride,Pop
Stick season,Pop
We Are Young,Pop
opposite,Pop
London Boy,Pop
the 1,Pop
Birthday,Pop
Firework,Pop
Lady - Hear Me Tonight,Pop
Lovefool,Pop
Upside down ,Pop
My way,Pop
California Gurls ,Pop 
Teenage Dream ,Pop 
Gods Plan ,Pop 
Crazy In Love,R&B
What's my name,R&B
Careless Whisper,R&B
Good Days ,R&B
Could You be loved,R&B
Three little Birds,R&B
No Women No Cry,R&B
Is this Love,R&B
My Hero,Rock
Father and Son,Rock
american pie,Rock
American Pie,Rock
Rip And Tear,Rock
This Is Why,Rock
Immortals,Rock
Money ,Rock
Wish you were here,Rock
bohemian rhapsody,Rock
breakthrough,Rock
Killer Queen,Rock
This fffire,Rock
Runaway,Rock
Escape (The pina colada song),Rock
Radioactive ,Rock 
