Name,Artist
simple,Florida Georgia Line
big green tractor ,jason aldean
blame it on you,jason aldean
head over boots,jon pardi
play it again,luke bryan 
fast cars,luke combs
Last Night,Morgan Wallen
snap back ,old dominion
East side of sorrow,Zach Bryan
I remember everything,Zach Bryan
5 foot 9 ,Tyler Hubbard 
revival ,Zach bryan 
pick me up ,Gabby Barrett 
Luminary,Joel Sunny
Slippy,Flow [Monstercat release]
Wild boar inn,Celestial Aeon project 
Pirate Jig ,Celestial Aeon Project/Pirates of the endless sea
Black knight Inn,"Matti paalanen, celestial Aeon Project "
Tavern of Prancing pony ,Tales from the dream world
Wouldn't You Like ,Jorge Rivera-Herrans 
We Love the Prince ,Spies are Forever 
Bad Habits ,Steve Lacy
Phone numbers,Dominic Fike and Kenny Beats
The gold,Phoebe Bridgers
Everywhere everything ,Noah Kahan
stick season,Noah Kahan
Hate to be lame,lizzy McAlpine
Thus Always To Tyrants ,The Oh Hellos
Ghost Town,Layto x Neoni
WONDERLAND,Neoni
Shameless ,Camila Cabello
Hope,Gracie abrams 
Better Place ,Justin Timberlake
billie jean,michael jackson
Do It LIke A Girl ,Morgan St. Jean
What’s my name?,Rihanna 
HAPPY,NF
Bottoms Up,Trey Songz and Nicki Minaj
RUNRUNRUN,Dutch Melrose
Never Knew I Needed,Ne-Yo
Instagram,Dean
Novacane ,Frank Ocean 
Shirt ,SZA
Ain't No Sunshine Bill Withers ,Bill Withers 
Stay high ,pepper
La romana ,Bad bunny 
Una noche en medellin ,cris mj 
la bebe -remix ,"Peso pluma,yng lvcas"
gently ,bad bunny drake 
Famous ,Kayne West 
Lip Gloss,Lil Mama
red roses,lil skies 
Burn,Juice WRLD
All Eyez On Me,2Pac
hit em up,2pac ft outlawz
undercover,baby smoove
Bandit ,Don Toliver
Solo,Future 
Dark Fantasy,Kanye West
Diamonds from sierra leone,Kanye West
Flashing Lights,Kanye West
Runaway,Kanye West
A Cold Sunday,Lil Yatchy
First Show,Luh Tyler
Ready to Die,Notorious BIG
from the d to the a ,tee grizzley - lil yatchy 
NightCrawler ,Travis scott
Murder on my mind ,ynw melly
Moves,Zach Diamond
this dj ,warren g 
family ties ,Kendrick Lamar
corlinks and jpay ,Kodack black
Str8 Bars ,Kodak Black 
on me ,lil baby 
Pure cocaine,Lil baby 
shistey summer ,poo sheisty 
cruise ,preezy 
crystal clear ,Rio da yung og 
addict ,talibando 
Porches in the rain,YBN Nahmir
Mr. Brightside,The killers 
Vampire Empire,Big Theif
Angel of Small Death and Codeine Scene ,Hozier
Crying Lightning ,Arctic Monkeys 
Fire,TheScore
Vienna ,Billy Joel
It's A Sin,Ghost
Per Aspera Ad Inferi,Ghost
Ritual,Ghost
Spillways,Ghost
stairway to heaven,led xeppelin
rock star,nickelback
smells like teen spirit,nirvana
Even Flow,Pearl Jam
Go with the Flow,Queens of the Stone Age
london calling,the clash
Atomic city ,U2
God of war Ragnarok ,Bear McCreary
,
,
Song 1: Title,Song 1: Artist
simple,Florida Georgia Line
big green tractor ,jason aldean
blame it on you,jason aldean
head over boots,jon pardi
play it again,luke bryan 
fast cars,luke combs
Last Night,Morgan Wallen
snap back ,old dominion
East side of sorrow,Zach Bryan
I remember everything,Zach Bryan
5 foot 9 ,Tyler Hubbard 
revival ,Zach bryan 
pick me up ,Gabby Barrett 
Luminary,Joel Sunny
Slippy,Flow [Monstercat release]
Wild boar inn,Celestial Aeon project 
Pirate Jig ,Celestial Aeon Project/Pirates of the endless sea
Black knight Inn,"Matti paalanen, celestial Aeon Project "
Tavern of Prancing pony ,Tales from the dream world
Wouldn't You Like ,Jorge Rivera-Herrans 
We Love the Prince ,Spies are Forever 
Bad Habits ,Steve Lacy
Phone numbers,Dominic Fike and Kenny Beats
The gold,Phoebe Bridgers
Everywhere everything ,Noah Kahan
stick season,Noah Kahan
Hate to be lame,lizzy McAlpine
Thus Always To Tyrants ,The Oh Hellos
Ghost Town,Layto x Neoni
WONDERLAND,Neoni
Shameless ,Camila Cabello
Hope,Gracie abrams 
Better Place ,Justin Timberlake
billie jean,michael jackson
Do It LIke A Girl ,Morgan St. Jean
What’s my name?,Rihanna 
HAPPY,NF
Bottoms Up,Trey Songz and Nicki Minaj
RUNRUNRUN,Dutch Melrose
Never Knew I Needed,Ne-Yo
Instagram,Dean
Novacane ,Frank Ocean 
Shirt ,SZA
Ain't No Sunshine Bill Withers ,Bill Withers 
Stay high ,pepper
La romana ,Bad bunny 
Una noche en medellin ,cris mj 
la bebe -remix ,"Peso pluma,yng lvcas"
gently ,bad bunny drake 
Famous ,Kayne West 
Lip Gloss,Lil Mama
red roses,lil skies 
Burn,Juice WRLD
All Eyez On Me,2Pac
hit em up,2pac ft outlawz
undercover,baby smoove
Bandit ,Don Toliver
Solo,Future 
Dark Fantasy,Kanye West
Diamonds from sierra leone,Kanye West
Flashing Lights,Kanye West
Runaway,Kanye West
A Cold Sunday,Lil Yatchy
First Show,Luh Tyler
Ready to Die,Notorious BIG
from the d to the a ,tee grizzley - lil yatchy 
NightCrawler ,Travis scott
Murder on my mind ,ynw melly
Moves,Zach Diamond
this dj ,warren g 
family ties ,Kendrick Lamar
corlinks and jpay ,Kodack black
Str8 Bars ,Kodak Black 
on me ,lil baby 
Pure cocaine,Lil baby 
shistey summer ,poo sheisty 
cruise ,preezy 
crystal clear ,Rio da yung og 
addict ,talibando 
Porches in the rain,YBN Nahmir
Mr. Brightside,The killers 
Vampire Empire,Big Theif
Angel of Small Death and Codeine Scene ,Hozier
Crying Lightning ,Arctic Monkeys 
Fire,TheScore
Vienna ,Billy Joel
It's A Sin,Ghost
Per Aspera Ad Inferi,Ghost
Ritual,Ghost
Spillways,Ghost
stairway to heaven,led xeppelin
rock star,nickelback
smells like teen spirit,nirvana
Even Flow,Pearl Jam
Go with the Flow,Queens of the Stone Age
london calling,the clash
Atomic city ,U2
God of war Ragnarok ,Bear McCreary
,
,
Song 1: Title,Song 1: Artist
simple,Florida Georgia Line
big green tractor ,jason aldean
blame it on you,jason aldean
head over boots,jon pardi
play it again,luke bryan 
fast cars,luke combs
Last Night,Morgan Wallen
snap back ,old dominion
East side of sorrow,Zach Bryan
I remember everything,Zach Bryan
5 foot 9 ,Tyler Hubbard 
revival ,Zach bryan 
pick me up ,Gabby Barrett 
Luminary,Joel Sunny
Slippy,Flow [Monstercat release]
Wild boar inn,Celestial Aeon project 
Pirate Jig ,Celestial Aeon Project/Pirates of the endless sea
Black knight Inn,"Matti paalanen, celestial Aeon Project "
Tavern of Prancing pony ,Tales from the dream world
Wouldn't You Like ,Jorge Rivera-Herrans 
We Love the Prince ,Spies are Forever 
Bad Habits ,Steve Lacy
Phone numbers,Dominic Fike and Kenny Beats
The gold,Phoebe Bridgers
Everywhere everything ,Noah Kahan
stick season,Noah Kahan
Hate to be lame,lizzy McAlpine
Thus Always To Tyrants ,The Oh Hellos
Ghost Town,Layto x Neoni
WONDERLAND,Neoni
Shameless ,Camila Cabello
Hope,Gracie abrams 
Better Place ,Justin Timberlake
billie jean,michael jackson
Do It LIke A Girl ,Morgan St. Jean
What’s my name?,Rihanna 
HAPPY,NF
Bottoms Up,Trey Songz and Nicki Minaj
RUNRUNRUN,Dutch Melrose
Never Knew I Needed,Ne-Yo
Instagram,Dean
Novacane ,Frank Ocean 
Shirt ,SZA
Ain't No Sunshine Bill Withers ,Bill Withers 
Stay high ,pepper
La romana ,Bad bunny 
Una noche en medellin ,cris mj 
la bebe -remix ,"Peso pluma,yng lvcas"
gently ,bad bunny drake 
Famous ,Kayne West 
Lip Gloss,Lil Mama
red roses,lil skies 
Burn,Juice WRLD
All Eyez On Me,2Pac
hit em up,2pac ft outlawz
undercover,baby smoove
Bandit ,Don Toliver
Solo,Future 
Dark Fantasy,Kanye West
Diamonds from sierra leone,Kanye West
Flashing Lights,Kanye West
Runaway,Kanye West
A Cold Sunday,Lil Yatchy
First Show,Luh Tyler
Ready to Die,Notorious BIG
from the d to the a ,tee grizzley - lil yatchy 
NightCrawler ,Travis scott
Murder on my mind ,ynw melly
Moves,Zach Diamond
this dj ,warren g 
family ties ,Kendrick Lamar
corlinks and jpay ,Kodack black
Str8 Bars ,Kodak Black 
on me ,lil baby 
Pure cocaine,Lil baby 
shistey summer ,poo sheisty 
cruise ,preezy 
crystal clear ,Rio da yung og 
addict ,talibando 
Porches in the rain,YBN Nahmir
Mr. Brightside,The killers 
Vampire Empire,Big Theif
Angel of Small Death and Codeine Scene ,Hozier
Crying Lightning ,Arctic Monkeys 
Fire,TheScore
Vienna ,Billy Joel
It's A Sin,Ghost
Per Aspera Ad Inferi,Ghost
Ritual,Ghost
Spillways,Ghost
stairway to heaven,led xeppelin
rock star,nickelback
smells like teen spirit,nirvana
Even Flow,Pearl Jam
Go with the Flow,Queens of the Stone Age
london calling,the clash
Atomic city ,U2
God of war Ragnarok ,Bear McCreary
,
,
Song 1: Title,Song 1: Artist
simple,Florida Georgia Line
big green tractor ,jason aldean
blame it on you,jason aldean
head over boots,jon pardi
play it again,luke bryan 
fast cars,luke combs
Last Night,Morgan Wallen
snap back ,old dominion
East side of sorrow,Zach Bryan
I remember everything,Zach Bryan
5 foot 9 ,Tyler Hubbard 
revival ,Zach bryan 
pick me up ,Gabby Barrett 
Luminary,Joel Sunny
Slippy,Flow [Monstercat release]
Wild boar inn,Celestial Aeon project 
Pirate Jig ,Celestial Aeon Project/Pirates of the endless sea
Black knight Inn,"Matti paalanen, celestial Aeon Project "
Tavern of Prancing pony ,Tales from the dream world
Wouldn't You Like ,Jorge Rivera-Herrans 
We Love the Prince ,Spies are Forever 
Bad Habits ,Steve Lacy
Phone numbers,Dominic Fike and Kenny Beats
The gold,Phoebe Bridgers
Everywhere everything ,Noah Kahan
