Name,Genre
better in the dark ,Indie
California Love,Indie
Could you be loved,Indie
End of Beginning,Indie
Ivy - non ecplicit,Indie
marinade ,Indie
moon beam ,Indie
praise jah in the moonlight non explicit ,Indie
right side of my neck ,Indie
Upside Down,Indie
White Ferrari ,Indie
Falling Behind,Jazz
fly me to the moon,Jazz
have yourself little  christmas,Jazz
the girl from ipanema,Jazz
the nutcracker op.71act1 scene:no6 clara and the nutcracker,Jazz
Bad romance,Pop
Be my baby ,Pop
Be Nice to Me,Pop
DESTROYA,Pop
Diet Mountain Dew,Pop
Faking it non explicit ,Pop
Fantasy ,Pop
ghost in the machine non explicit,Pop
good days non explicit ,Pop
Heaven,Pop
Lose control ,Pop
maria ,Pop
P.U.N.K Girl,Pop
pink+white ,Pop
Seed ,Pop
snooze  non explicit ,Pop
South of the Border ,Pop
this night has opened my eyes,Pop
Underclass Hero,Pop
Wondering,Pop
yellow,Pop
2055,Rap
2021 vibes non bad words,Rap
Addiction (Clean),Rap
Celebration (Clean),Rap
empire state of mind,Rap
Gods plan ,Rap
Gone (Clean),Rap
Heard em Say (Clean),Rap
how u feel - non bad word,Rap
I know,Rap
I THINK,Rap
Mirror,Rap
My eyes non bad word,Rap
Runaway - Non explicit ,Rap
Shoudlve worn a bonnet - non explicit ,Rap
Sticks on ready non bad word,Rap
YAH. (Clean),Rap
Yonkers,Rap
you broke my heart non explicit ,Rap
Flights booked,Rap
blue over blue ,Rock
bombsquad,Rock
Buddy holly ,Rock
Burnout ,Rock
Dead Man's Boots,Rock
Do Me a Favor,Rock
Dreams,Rock
Ecstacy (apple of my eye),Rock
Fade Into You,Rock
Friday I'm In Love,Rock
Harness Your Hopes,Rock
House of Balloons,Rock
Kill Kill,Rock
killer queen,Rock
Life on Mars?,Rock
Loser,Rock
Mary Jane's Last Dance,Rock
model buses ,Rock
Mr. Jones,Rock
November Rain,Rock
only in dreams,Rock
Please please please let me get what i want,Rock
Rhiannon,Rock
Rotten love,Rock
Semi-Charmed Life,Rock
Shimmer,Rock
sleep cult,Rock
"Sugar, We're Goin Down",Rock
Up from the Underground,Rock
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Name,Song 1: Artist
Creek Will Rise,Conner Smith
Swerve,Florida Georgia Line
Summertime,Kenny Chesney
Wildflowers and Wild Horses,Laney Wilson
That's My Kind of Night,Luke Bryan
Life is a Highway,Rascal Flatts
Good Godly Women ,The Red Clay Strays
Dawns,Zach bryan
Motto,NF
Make Some Noise,Beastie Boys
IDGAF,Drake
Work,Rihanna
Lifestyle,Homxide gang
Rick owens,Ken carson
Backrooms ,Playboi carti
Evil jordan,playboi carti
Fein,Playboi carti
Ur the moon,playboi carti
2024,playboi carti
Can I Kick It?,A Tribe Called Quest
All Falls Down [Clean],Kanye West
United in Grief,Kendrick lamar
Walk Em Down (Clean Version),NLE Choppa
Freestyle,Rod Wave
93 'Till Infinity,Souls Of Mischief
Ice Ice Baby,Vanilla Ice
Mischief on My Mind ,YNW Melly
 Blizzard ,Youno Miles
Runaway ,Kanye West 
Sabotage [Clean],Beastie Boys
2k23 ,Yuno miles 
4 wheeler ,Yuno miles 
deck the halls ,Yuno miles 
Dinosaur ,Yuno miles 
Honey Bun ,Yuno Miles 
pirates on a boat ,Yuno miles 
Put the money in the bag ,Yuno Miles 
Merry Go Round of Life,Joe Hisaishi
Razormind,Simon Viklund
Nepituno,BLKB3RY
Real love baby,Father John misty
Cut My Life in 2 pizzas(Last Resort - Papa Roach Parody),The Brians
Put Your Reconds On,Corinne Bailey Rae
Bones in the Ocean,The Longest Johns
